NCT00637442
NCT01608217
NCT01849042
NCT02612688
NCT01024660
NCT01513967
NCT00626210
NCT01436552
NCT01565356
NCT01993836
NCT00277810
NCT00105105
NCT02386670
NCT01920672
NCT02727699
NCT01692977
NCT00592943
NCT01295957
NCT01482351
NCT02750306
NCT01661673
NCT00765115
NCT01023867
NCT01183806
NCT00710684
NCT02361424
NCT00931073
NCT00103649
NCT00906191
NCT02074215
NCT02541929
NCT00950430
NCT01736579
NCT01225809
NCT00476008
NCT00654563
NCT00088751
NCT00693004
NCT00675623
NCT00104273
NCT00678431
NCT00216593
NCT01303133
NCT00795418
NCT00874939
NCT00979446
NCT01217021
NCT01615666
NCT02392468
NCT00658125
NCT00172900
NCT00608946
NCT00544453
NCT01948791
NCT00568776
NCT01566071
NCT01245530
NCT02442778
NCT00596284
NCT00621647
NCT00165724
NCT00597376
NCT00219232
NCT00679627
NCT01687153
NCT02052947
NCT00355498
NCT02393027
NCT02114372
NCT00283725
NCT01585272
NCT00236431
NCT02192554
NCT01276353
NCT02565511
NCT00315575
NCT00015548
NCT02267057
NCT02273895
NCT02323334
NCT02147652
NCT02462291
NCT02761707
NCT00099242
NCT00017940
NCT01515982
NCT02551809
NCT02309723
NCT00291161
NCT02681172
NCT02664584
NCT01023685
NCT01600469
NCT00056524
NCT02162251
NCT01354444
NCT01926691
NCT01423396
NCT02579252
NCT02380573
NCT00006187
NCT00546767
NCT01780519
NCT00134953
NCT02840045
NCT00380302
NCT01189084
NCT01662882
NCT01650454
NCT02059356
NCT01249196
NCT00267163
NCT00265148
NCT01238458
NCT01574456
NCT02017340
NCT00369603
NCT01565343
NCT00898807
NCT02360657
NCT00469456
NCT02547818
NCT02471196
NCT00702143
NCT00064870
NCT01565291
NCT01294540
NCT01316562
NCT02336360
NCT02621606
NCT02546310
NCT00585572
NCT02467413
NCT00468897
NCT00066157
NCT01594541
NCT00954252
NCT00119561
NCT02198586
NCT01320527
NCT01409694
NCT02438202
NCT00799786
NCT00831298
NCT01297140
NCT02787746
NCT00401167
NCT01746498
NCT02562989
NCT01438060
NCT02670993
NCT02697721
NCT02220738
NCT00319891
NCT01638884
NCT02648672
NCT02013518
NCT02817906
NCT00622713
NCT01428453
NCT00689637
NCT02841605
NCT01231295
NCT01334450
NCT01018875
NCT01978327
NCT00506415
NCT02253732
NCT02557464
NCT00294307
NCT01297218
NCT00563732
NCT02792179
NCT02471833
NCT00733785
NCT02463084
NCT00321971
NCT02040987
NCT02205424
NCT01560585
NCT01453569
NCT01795339
NCT00759863
NCT01569516
NCT02127476
NCT01747213
NCT02051244
NCT00422981
NCT00001972
NCT00580931
NCT00001977
NCT02759159
NCT00013182
NCT02162264
NCT01819714
NCT02120664
NCT01163825
NCT01660815
NCT02305836
NCT01436188
NCT00253123
NCT00606476
NCT02055092
NCT01152216
NCT00396825
NCT01712074
NCT02051335
NCT01094145
NCT02294513
NCT01894620
NCT01525368
NCT01138111
NCT02489110
NCT00523666
NCT01689246
NCT02593318
NCT01284387
NCT00245206
NCT01777789
NCT02612805
NCT01503944
NCT01707719
NCT00065767
NCT00285025
NCT00660088
NCT00688207
NCT01350362
NCT00842816
NCT01699503
NCT01093664
NCT00930059
NCT02760602
NCT01450891
NCT00120874
NCT00708552
NCT00566501
NCT02859207
NCT02265757
NCT00314912
NCT00089882
NCT01626391
NCT01075763
NCT00997425
NCT01946243
NCT00065169
NCT01198093
NCT00174525
NCT00151333
NCT00792662
NCT00988624
NCT00255866
NCT01825681
NCT01658722
NCT02831283
NCT01602393
NCT01715181
NCT01723488
NCT01039701
NCT01876459
NCT00090402
NCT01153802
NCT00381238
NCT00329082
NCT01492374
NCT01870453
NCT00004845
NCT02260674
NCT02578303
NCT01972204
NCT02472899
NCT00726726
NCT01147679
NCT00733863
NCT00927108
NCT02520232
NCT01143350
NCT00869817
NCT01315639
NCT02108769
NCT02002819
NCT00814801
NCT00459550
NCT00582127
NCT02667496
NCT01764243
NCT02569398
NCT01862640
NCT00843518
NCT02377206
NCT02370524
NCT01630525
NCT00692510
NCT01378195
NCT01315704
NCT02359864
NCT01639586
NCT01061489
NCT02361242
NCT00684944
NCT02503501
NCT01815112
NCT02702102
NCT02051764
NCT01624389
NCT00857415
NCT02681822
NCT00096473
NCT00718731
NCT00908492
NCT01329484
NCT01552265
NCT01609335
NCT02733939
NCT01940952
NCT01608061
NCT00766363
NCT00479557
NCT00260624
NCT02005380
NCT00478205
NCT00087789
NCT00711139
NCT00687141
NCT01689233
NCT00384423
NCT00531804
NCT00675090
NCT02509117
NCT01565369
NCT02349191
NCT00074529
NCT02702817
NCT00065689
NCT00409279
NCT01727622
NCT01400542
NCT00757939
NCT01659398
NCT02267486
NCT00438724
NCT00987090
NCT00911807
NCT01723670
NCT01430286
NCT00261573
NCT00246896
NCT02802371
NCT02804789
NCT02226835
NCT00392912
NCT02045056
NCT02103894
NCT01672827
NCT01537757
NCT00809510
NCT00645190
NCT00581867
NCT01782248
NCT00192816
NCT02337907
NCT00112073
NCT00069849
NCT01826110
NCT02079246
NCT02327182
NCT02576639
NCT02868905
NCT01339195
NCT02289118
NCT00948259
NCT00857233
NCT01584440
NCT01227564
NCT02434718
NCT01479855
NCT02518412
NCT00571025
NCT01120002
NCT01230853
NCT02228187
NCT00909285
NCT00000174
NCT00000176
NCT00000177
NCT00000171
NCT00000172
NCT00000173
NCT00071721
NCT00001178
NCT00000178
NCT00000179
NCT01998711
NCT02141971
NCT01447719
NCT00232570
NCT00178165
NCT01548430
NCT00441987
NCT01128725
NCT02094729
NCT02008357
NCT00825084
NCT02004392
NCT01055392
NCT01640275
NCT00692705
NCT01893398
NCT00303277
NCT02586909
NCT00348309
NCT02707458
NCT01028053
NCT01609348
NCT01089270
NCT02196116
NCT01126099
NCT01439555
NCT00192998
NCT00362284
NCT00494962
NCT02648906
NCT02444078
NCT00721383
NCT02051608
NCT00966017
NCT00291421
NCT00960531
NCT01025466
NCT00149175
NCT00480818
NCT01682915
NCT00777608
NCT01429623
NCT02726906
NCT02299154
NCT01388478
NCT02386306
NCT02650843
NCT02397980
NCT00455000
NCT02820896
NCT00056316
NCT02501876
NCT00257712
NCT02210286
NCT00412048
NCT02670083
NCT01796314
NCT01476228
NCT00698165
NCT02434393
NCT00818662
NCT00979316
NCT00612872
NCT01807026
NCT01703702
NCT02256306
NCT00558402
NCT02176629
NCT01000870
NCT02792257
NCT02302482
NCT02781220
NCT02820155
NCT01953705
NCT01421056
NCT02129348
NCT01297114
NCT01009255
NCT01035164
NCT01827982
NCT02793232
NCT01772537
NCT01013610
NCT00254033
NCT00202124
NCT00276510
NCT00889603
NCT00785759
NCT00287248
NCT02549196
NCT01058941
NCT00548145
NCT00543322
NCT02333942
NCT01397539
NCT01125631
NCT01145482
NCT00499642
NCT01522404
NCT00752232
NCT01554683
NCT01028209
NCT00231946
NCT00420420
NCT02843529
NCT01409915
NCT02570997
NCT02351453
NCT02585934
NCT00452504
NCT00024531
NCT01282619
NCT00498602
NCT01478204
NCT02672306
NCT00713765
NCT02626572
NCT02187627
NCT02819700
NCT00905372
NCT02227953
NCT02172612
NCT01436045
NCT02769234
NCT01928420
NCT00804271
NCT02556502
NCT01549834
NCT00366288
NCT01937221
NCT00001549
NCT00094939
NCT00001235
NCT00053599
NCT00711204
NCT02245737
NCT00998764
NCT01716897
NCT01677572
NCT01743534
NCT01029132
NCT00110552
NCT02811653
NCT02051361
NCT02423122
NCT02322021
NCT01309763
NCT01903421
NCT00099710
NCT01539031
NCT00582855
NCT01505504
NCT00544791
NCT02835716
NCT02388152
NCT00495417
NCT02164643
NCT00479843
NCT01047254
NCT02848404
NCT01348061
NCT01554202
NCT00443014
NCT00041678
NCT00464334
NCT01202994
NCT00479440
NCT01628653
NCT02795780
NCT01871610
NCT02331784
NCT02740634
NCT00842673
NCT00550420
NCT00611312
NCT01467726
NCT00480701
NCT00357357
NCT01835717
NCT02649985
NCT00462917
NCT01571427
NCT00548951
NCT01550172
NCT02007291
NCT02155946
NCT00886951
NCT01885806
NCT02185053
NCT02414178
NCT00824590
NCT01767311
NCT01314638
NCT01042314
NCT02224326
NCT02262975
NCT01565434
NCT00095719
NCT00182988
NCT02418806
NCT00938665
NCT00042172
NCT00574132
NCT01485302
NCT02246075
NCT00488007
NCT02741505
NCT00076440
NCT00178568
NCT00029120
NCT00309725
NCT01703117
NCT00009204
NCT00605046
NCT00203359
NCT00880347
NCT01921972
NCT01142258
NCT01420315
NCT01922258
NCT00322153
NCT01072812
NCT00838084
NCT00735046
NCT01739348
NCT00990613
NCT02663531
NCT01723826
NCT00428389
